English,French
Excuse me. (715),Excusez-moi. (715)
Where is this location? (716),Où se trouve cet endroit ? (716)
How do I get there? (717),Comment puis-je y aller ? (717)
What time is it? (718),Quelle heure est-il ? (718)
Where can I get food? (719),Où puis-je manger ? (719)
I need help. (720),J'ai besoin d'aide. (720)
Hello (721),Bonjour (721)
Hi (722),Salut (722)
Good morning (723),Bonjour (723)
Good evening (724),Bonsoir (724)
How are you? (725),Comment allez-vous ? (725)
I am fine. (726),Je vais bien. (726)
I love you. (727),Je t'aime. (727)
Thank you. (728),Merci. (728)
Please. (729),S'il vous plaît. (729)
Excuse me. (730),Excusez-moi. (730)
Where is this location? (731),Où se trouve cet endroit ? (731)
How do I get there? (732),Comment puis-je y aller ? (732)
What time is it? (733),Quelle heure est-il ? (733)
Where can I get food? (734),Où puis-je manger ? (734)
I need help. (735),J'ai besoin d'aide. (735)
Hello (736),Bonjour (736)
Hi (737),Salut (737)
Good morning (738),Bonjour (738)
Good evening (739),Bonsoir (739)
How are you? (740),Comment allez-vous ? (740)
I am fine. (741),Je vais bien. (741)
I love you. (742),Je t'aime. (742)
Thank you. (743),Merci. (743)
Please. (744),S'il vous plaît. (744)
Excuse me. (745),Excusez-moi. (745)
Where is this location? (746),Où se trouve cet endroit ? (746)
How do I get there? (747),Comment puis-je y aller ? (747)
What time is it? (748),Quelle heure est-il ? (748)
Where can I get food? (749),Où puis-je manger ? (749)
I need help. (750),J'ai besoin d'aide. (750)
Hello (751),Bonjour (751)
Hi (752),Salut (752)
Good morning (753),Bonjour (753)
Good evening (754),Bonsoir (754)
How are you? (755),Comment allez-vous ? (755)
I am fine. (756),Je vais bien. (756)
I love you. (757),Je t'aime. (757)
Thank you. (758),Merci. (758)
Please. (759),S'il vous plaît. (759)
Excuse me. (760),Excusez-moi. (760)
Where is this location? (761),Où se trouve cet endroit ? (761)
How do I get there? (762),Comment puis-je y aller ? (762)
What time is it? (763),Quelle heure est-il ? (763)
Where can I get food? (764),Où puis-je manger ? (764)
I need help. (765),J'ai besoin d'aide. (765)
Hello (766),Bonjour (766)
Hi (767),Salut (767)
Good morning (768),Bonjour (768)
Good evening (769),Bonsoir (769)
How are you? (770),Comment allez-vous ? (770)
I am fine. (771),Je vais bien. (771)
I love you. (772),Je t'aime. (772)
Thank you. (773),Merci. (773)
Please. (774),S'il vous plaît. (774)
Excuse me. (775),Excusez-moi. (775)
Where is this location? (776),Où se trouve cet endroit ? (776)
How do I get there? (777),Comment puis-je y aller ? (777)
What time is it? (778),Quelle heure est-il ? (778)
Where can I get food? (779),Où puis-je manger ? (779)
I need help. (780),J'ai besoin d'aide. (780)
Hello (781),Bonjour (781)
Hi (782),Salut (782)
Good morning (783),Bonjour (783)
Good evening (784),Bonsoir (784)
How are you? (785),Comment allez-vous ? (785)
I am fine. (786),Je vais bien. (786)
I love you. (787),Je t'aime. (787)
Thank you. (788),Merci. (788)
Please. (789),S'il vous plaît. (789)
Excuse me. (790),Excusez-moi. (790)
Where is this location? (791),Où se trouve cet endroit ? (791)
How do I get there? (792),Comment puis-je y aller ? (792)
What time is it? (793),Quelle heure est-il ? (793)
Where can I get food? (794),Où puis-je manger ? (794)
I need help. (795),J'ai besoin d'aide. (795)
Hello (796),Bonjour (796)
Hi (797),Salut (797)
Good morning (798),Bonjour (798)
Good evening (799),Bonsoir (799)
How are you? (800),Comment allez-vous ? (800)
I am fine. (801),Je vais bien. (801)
I love you. (802),Je t'aime. (802)
Thank you. (803),Merci. (803)
Please. (804),S'il vous plaît. (804)
Excuse me. (805),Excusez-moi. (805)
Where is this location? (806),Où se trouve cet endroit ? (806)
How do I get there? (807),Comment puis-je y aller ? (807)
What time is it? (808),Quelle heure est-il ? (808)
Where can I get food? (809),Où puis-je manger ? (809)
I need help. (810),J'ai besoin d'aide. (810)
Hello (811),Bonjour (811)
Hi (812),Salut (812)
Good morning (813),Bonjour (813)
Good evening (814),Bonsoir (814)
How are you? (815),Comment allez-vous ? (815)
I am fine. (816),Je vais bien. (816)
I love you. (817),Je t'aime. (817)
Thank you. (818),Merci. (818)
Please. (819),S'il vous plaît. (819)
Excuse me. (820),Excusez-moi. (820)
Where is this location? (821),Où se trouve cet endroit ? (821)
How do I get there? (822),Comment puis-je y aller ? (822)
What time is it? (823),Quelle heure est-il ? (823)
Where can I get food? (824),Où puis-je manger ? (824)
I need help. (825),J'ai besoin d'aide. (825)
Hello (826),Bonjour (826)
Hi (827),Salut (827)
Good morning (828),Bonjour (828)
Good evening (829),Bonsoir (829)
How are you? (830),Comment allez-vous ? (830)
I am fine. (831),Je vais bien. (831)
I love you. (832),Je t'aime. (832)
Thank you. (833),Merci. (833)
Please. (834),S'il vous plaît. (834)
Excuse me. (835),Excusez-moi. (835)
Where is this location? (836),Où se trouve cet endroit ? (836)
How do I get there? (837),Comment puis-je y aller ? (837)
What time is it? (838),Quelle heure est-il ? (838)
Where can I get food? (839),Où puis-je manger ? (839)
I need help. (840),J'ai besoin d'aide. (840)
Hello (841),Bonjour (841)
Hi (842),Salut (842)
Good morning (843),Bonjour (843)
Good evening (844),Bonsoir (844)
How are you? (845),Comment allez-vous ? (845)
I am fine. (846),Je vais bien. (846)
I love you. (847),Je t'aime. (847)
Thank you. (848),Merci. (848)
Please. (849),S'il vous plaît. (849)
Excuse me. (850),Excusez-moi. (850)
Where is this location? (851),Où se trouve cet endroit ? (851)
How do I get there? (852),Comment puis-je y aller ? (852)
What time is it? (853),Quelle heure est-il ? (853)
Where can I get food? (854),Où puis-je manger ? (854)
I need help. (855),J'ai besoin d'aide. (855)
Hello (856),Bonjour (856)
Hi (857),Salut (857)
Good morning (858),Bonjour (858)
Good evening (859),Bonsoir (859)
How are you? (860),Comment allez-vous ? (860)
I am fine. (861),Je vais bien. (861)
I love you. (862),Je t'aime. (862)
Thank you. (863),Merci. (863)
Please. (864),S'il vous plaît. (864)
Excuse me. (865),Excusez-moi. (865)
Where is this location? (866),Où se trouve cet endroit ? (866)
How do I get there? (867),Comment puis-je y aller ? (867)
What time is it? (868),Quelle heure est-il ? (868)
Where can I get food? (869),Où puis-je manger ? (869)
I need help. (870),J'ai besoin d'aide. (870)
Hello (871),Bonjour (871)
Hi (872),Salut (872)
Good morning (873),Bonjour (873)
Good evening (874),Bonsoir (874)
How are you? (875),Comment allez-vous ? (875)
I am fine. (876),Je vais bien. (876)
I love you. (877),Je t'aime. (877)
Thank you. (878),Merci. (878)
Please. (879),S'il vous plaît. (879)
Excuse me. (880),Excusez-moi. (880)
Where is this location? (881),Où se trouve cet endroit ? (881)
How do I get there? (882),Comment puis-je y aller ? (882)
What time is it? (883),Quelle heure est-il ? (883)
Where can I get food? (884),Où puis-je manger ? (884)
I need help. (885),J'ai besoin d'aide. (885)
Hello (886),Bonjour (886)
Hi (887),Salut (887)
Good morning (888),Bonjour (888)
Good evening (889),Bonsoir (889)
How are you? (890),Comment allez-vous ? (890)
I am fine. (891),Je vais bien. (891)
I love you. (892),Je t'aime. (892)
Thank you. (893),Merci. (893)
Please. (894),S'il vous plaît. (894)
Excuse me. (895),Excusez-moi. (895)
Where is this location? (896),Où se trouve cet endroit ? (896)
How do I get there? (897),Comment puis-je y aller ? (897)
What time is it? (898),Quelle heure est-il ? (898)
Where can I get food? (899),Où puis-je manger ? (899)
I need help. (900),J'ai besoin d'aide. (900)
Hello (901),Bonjour (901)
Hi (902),Salut (902)
Good morning (903),Bonjour (903)
Good evening (904),Bonsoir (904)
How are you? (905),Comment allez-vous ? (905)
I am fine. (906),Je vais bien. (906)
I love you. (907),Je t'aime. (907)
Thank you. (908),Merci. (908)
Please. (909),S'il vous plaît. (909)
Excuse me. (910),Excusez-moi. (910)
Where is this location? (911),Où se trouve cet endroit ? (911)
How do I get there? (912),Comment puis-je y aller ? (912)
What time is it? (913),Quelle heure est-il ? (913)
Where can I get food? (914),Où puis-je manger ? (914)
I need help. (915),J'ai besoin d'aide. (915)
Hello (916),Bonjour (916)
Hi (917),Salut (917)
Good morning (918),Bonjour (918)
Good evening (919),Bonsoir (919)
How are you? (920),Comment allez-vous ? (920)
I am fine. (921),Je vais bien. (921)
I love you. (922),Je t'aime. (922)
Thank you. (923),Merci. (923)
Please. (924),S'il vous plaît. (924)
Excuse me. (925),Excusez-moi. (925)
Where is this location? (926),Où se trouve cet endroit ? (926)
How do I get there? (927),Comment puis-je y aller ? (927)
What time is it? (928),Quelle heure est-il ? (928)
Where can I get food? (929),Où puis-je manger ? (929)
I need help. (930),J'ai besoin d'aide. (930)
Hello (931),Bonjour (931)
Hi (932),Salut (932)
Good morning (933),Bonjour (933)
Good evening (934),Bonsoir (934)
How are you? (935),Comment allez-vous ? (935)
I am fine. (936),Je vais bien. (936)
I love you. (937),Je t'aime. (937)
Thank you. (938),Merci. (938)
Please. (939),S'il vous plaît. (939)
Excuse me. (940),Excusez-moi. (940)
Where is this location? (941),Où se trouve cet endroit ? (941)
How do I get there? (942),Comment puis-je y aller ? (942)
What time is it? (943),Quelle heure est-il ? (943)
Where can I get food? (944),Où puis-je manger ? (944)
I need help. (945),J'ai besoin d'aide. (945)
Hello (946),Bonjour (946)
Hi (947),Salut (947)
Good morning (948),Bonjour (948)
Good evening (949),Bonsoir (949)
How are you? (950),Comment allez-vous ? (950)
I am fine. (951),Je vais bien. (951)
I love you. (952),Je t'aime. (952)
Thank you. (953),Merci. (953)
Please. (954),S'il vous plaît. (954)
Excuse me. (955),Excusez-moi. (955)
Where is this location? (956),Où se trouve cet endroit ? (956)
How do I get there? (957),Comment puis-je y aller ? (957)
What time is it? (958),Quelle heure est-il ? (958)
Where can I get food? (959),Où puis-je manger ? (959)
I need help. (960),J'ai besoin d'aide. (960)
Hello (961),Bonjour (961)
Hi (962),Salut (962)
Good morning (963),Bonjour (963)
Good evening (964),Bonsoir (964)
How are you? (965),Comment allez-vous ? (965)
I am fine. (966),Je vais bien. (966)
I love you. (967),Je t'aime. (967)
Thank you. (968),Merci. (968)
Please. (969),S'il vous plaît. (969)
Excuse me. (970),Excusez-moi. (970)
Where is this location? (971),Où se trouve cet endroit ? (971)
How do I get there? (972),Comment puis-je y aller ? (972)
What time is it? (973),Quelle heure est-il ? (973)
Where can I get food? (974),Où puis-je manger ? (974)
I need help. (975),J'ai besoin d'aide. (975)
Hello (976),Bonjour (976)
Hi (977),Salut (977)
Good morning (978),Bonjour (978)
Good evening (979),Bonsoir (979)
How are you? (980),Comment allez-vous ? (980)
I am fine. (981),Je vais bien. (981)
I love you. (982),Je t'aime. (982)
Thank you. (983),Merci. (983)
Please. (984),S'il vous plaît. (984)
Excuse me. (985),Excusez-moi. (985)
Where is this location? (986),Où se trouve cet endroit ? (986)
How do I get there? (987),Comment puis-je y aller ? (987)
What time is it? (988),Quelle heure est-il ? (988)
Where can I get food? (989),Où puis-je manger ? (989)
I need help. (990),J'ai besoin d'aide. (990)
Hello (991),Bonjour (991)
Hi (992),Salut (992)
Good morning (993),Bonjour (993)
Good evening (994),Bonsoir (994)
How are you? (995),Comment allez-vous ? (995)
I am fine. (996),Je vais bien. (996)
I love you. (997),Je t'aime. (997)
Thank you. (998),Merci. (998)
Please. (999),S'il vous plaît. (999)
Excuse me. (1000),Excusez-moi. (1000)
